,,,,,,,,,,,,,,,,,,,,,
PT_Placement_Type_Distribution,,,,,tbl_Placement_Type_Summary,,,,,,,,,,,,,,,,
Placement,No. Of Ads,% of Total Placements,,,Placement Type,Displays,Number Of Ads,Clicks,Average Displays per Placement,CTR,,,,,,,,,,,
mno,4501,29.21%,,,mno,143161775,4501,993039,31806.66,0.69%,,,,,,,,,,,
def,3538,22.96%,,,ghi,59740415,3484,1247049,17147.08,2.09%,,,,,,,,,,,
ghi,3484,22.61%,,,def,28177492,3538,176097,7964.24,0.62%,,,,,,,,,,,
jkl,2504,16.25%,,,jkl,7692732,2504,75063,3072.18,0.98%,,,,,,,,,,,
abc,968,6.28%,,,abc,242142,968,1584,250.15,0.65%,,,,,,,,,,,
Unknown,413,2.68%,,,Unknown,3169,413,5,7.67,0.16%,,,,,,,,,,,
Grand Total,15408,100.00%,,,Totals ,239017725,15408,2492837,15512.57,1.04%,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
PT_Placement_Type_Performance_Share,,,,,,,,,,,,,,,,,,,,,
Placement,% OF Total Clicks,% of total displays,% of Total Placements,,,,,,,,,,,,,,,,,,
mno,39.84%,59.90%,29.21%,,,,,,,,,,,,,,,,,,
ghi,50.03%,24.99%,22.61%,,,,,,,,,,,,,,,,,,
def,7.06%,11.79%,22.96%,,,,,,,,,,,,,,,,,,
jkl,3.01%,3.22%,16.25%,,,,,,,,,,,,,,,,,,
abc,0.06%,0.10%,6.28%,,,,,,,,,,,,,,,,,,
Unknown,0.00%,0.00%,2.68%,,tbl_Campaign_Summary,,,,,,,,,,,,,,,,
Grand Total,100.00%,100.00%,100.00%,,Campaign Number,Number of Ads,Displays,Clicks,Average Displays per Campaign,CTR,,,,,,,,,,,
,,,,,camp 1,6877,143311319,1409136,20839.22,0.98%,,,,,,,,,,,
PT_Placement_Type_Clicks,,,,,camp 2,1614,45492269,881158,28186.04,1.94%,,,,,,,,,,,
Placement,Sum of clicks,% OF Total Clicks,,,camp 3,6917,50214137,202543,7259.53,0.40%,,,,,,,,,,,
ghi,1247049,50.03%,,,TOTAL ,15408,239017725,2492837,15512.57,1.04%,,,,,,,,,,,
mno,993039,39.84%,,,,,,,,,,,,,,,,,,,
def,176097,7.06%,,,,,,,,,,,,,,,,,,,
jkl,75063,3.01%,,,,,,,,,,,,,,,,,,,
abc,1584,0.06%,,,,,,,,,,,,,,,,,,,
Unknown,5,0.00%,,,,,,,,,,,,,,,,,,,
Grand Total,2492837,100.00%,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
PT_Placement_Type_Displays,,,,,,,,,,,,,,,,,,,,,
Placement,   Displays,% of total displays,,,,,,,,,,,,,,,,,,,
mno,143161775,59.90%,,,,,,,,,,,,,,,,,,,
ghi,59740415,24.99%,,,,,,,,,,,,,,,,,,,
def,28177492,11.79%,,,,,,,,,,,,,,,,,,,
jkl,7692732,3.22%,,,,,,,,,,,,,,,,,,,
abc,242142,0.10%,,,,,,,,,,,,,,,,,,,
Unknown,3169,0.00%,,,,,,,,,,,,,,,,,,,
Grand Total,239017725,100.00%,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
PT_Campaign_Performance,,,,,,,,,,,,,,,,,,,,,
Campaign,  Clicks,   Displays,No. Of Ads,,,,,,,,,,,,,,,,,,
camp 1,1409136,143311319,6877,,,,,,,,,,,,,,,,,,
camp 2,881158,45492269,1614,,,,,,,,,,,,,,,,,,
camp 3,202543,50214137,6917,,,,,,,,,,,,,,,,,,
Grand Total,2492837,239017725,15408,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
PT_Campaign_Monthly_Performance,,,,,,,,,,,,,,,,,,,,,
